Year,Month,City_Region,Province,NewHousePrice_Index_Type,UOM,VALUE,STATUS,DECIMALS
1998,1,Toronto, Ontario,Total (house and land),"Index, 201612=100",52.2,,1
1998,2,Toronto, Ontario,Total (house and land),"Index, 201612=100",52.3,,1
1998,3,Toronto, Ontario,Total (house and land),"Index, 201612=100",52.3,,1
1998,4,Toronto, Ontario,Total (house and land),"Index, 201612=100",52.5,,1
1998,5,Toronto, Ontario,Total (house and land),"Index, 201612=100",52.7,,1
1998,6,Toronto, Ontario,Total (house and land),"Index, 201612=100",52.8,,1
1998,7,Toronto, Ontario,Total (house and land),"Index, 201612=100",52.9,,1
1998,8,Toronto, Ontario,Total (house and land),"Index, 201612=100",52.9,,1
1998,9,Toronto, Ontario,Total (house and land),"Index, 201612=100",53,,1
1998,10,Toronto, Ontario,Total (house and land),"Index, 201612=100",53.1,,1
1998,11,Toronto, Ontario,Total (house and land),"Index, 201612=100",53.3,,1
1998,12,Toronto, Ontario,Total (house and land),"Index, 201612=100",53.2,,1
1999,1,Toronto, Ontario,Total (house and land),"Index, 201612=100",53.3,,1
1999,2,Toronto, Ontario,Total (house and land),"Index, 201612=100",53.4,,1
1999,3,Toronto, Ontario,Total (house and land),"Index, 201612=100",53.4,,1
1999,4,Toronto, Ontario,Total (house and land),"Index, 201612=100",53.5,,1
1999,5,Toronto, Ontario,Total (house and land),"Index, 201612=100",53.5,,1
1999,6,Toronto, Ontario,Total (house and land),"Index, 201612=100",53.5,,1
1999,7,Toronto, Ontario,Total (house and land),"Index, 201612=100",53.5,,1
1999,8,Toronto, Ontario,Total (house and land),"Index, 201612=100",53.6,,1
1999,9,Toronto, Ontario,Total (house and land),"Index, 201612=100",53.9,,1
1999,10,Toronto, Ontario,Total (house and land),"Index, 201612=100",54,,1
1999,11,Toronto, Ontario,Total (house and land),"Index, 201612=100",54.4,,1
1999,12,Toronto, Ontario,Total (house and land),"Index, 201612=100",54.5,,1
2000,1,Toronto, Ontario,Total (house and land),"Index, 201612=100",54.5,,1
2000,2,Toronto, Ontario,Total (house and land),"Index, 201612=100",54.8,,1
2000,3,Toronto, Ontario,Total (house and land),"Index, 201612=100",54.9,,1
2000,4,Toronto, Ontario,Total (house and land),"Index, 201612=100",55,,1
2000,5,Toronto, Ontario,Total (house and land),"Index, 201612=100",55.1,,1
2000,6,Toronto, Ontario,Total (house and land),"Index, 201612=100",55.1,,1
2000,7,Toronto, Ontario,Total (house and land),"Index, 201612=100",55.2,,1
2000,8,Toronto, Ontario,Total (house and land),"Index, 201612=100",55.3,,1
2000,9,Toronto, Ontario,Total (house and land),"Index, 201612=100",55.3,,1
2000,10,Toronto, Ontario,Total (house and land),"Index, 201612=100",55.4,,1
2000,11,Toronto, Ontario,Total (house and land),"Index, 201612=100",55.7,,1
2000,12,Toronto, Ontario,Total (house and land),"Index, 201612=100",55.8,,1
2001,1,Toronto, Ontario,Total (house and land),"Index, 201612=100",55.8,,1
2001,2,Toronto, Ontario,Total (house and land),"Index, 201612=100",55.9,,1
2001,3,Toronto, Ontario,Total (house and land),"Index, 201612=100",56.2,,1
2001,4,Toronto, Ontario,Total (house and land),"Index, 201612=100",56.3,,1
2001,5,Toronto, Ontario,Total (house and land),"Index, 201612=100",56.3,,1
2001,6,Toronto, Ontario,Total (house and land),"Index, 201612=100",56.5,,1
2001,7,Toronto, Ontario,Total (house and land),"Index, 201612=100",56.6,,1
2001,8,Toronto, Ontario,Total (house and land),"Index, 201612=100",56.7,,1
2001,9,Toronto, Ontario,Total (house and land),"Index, 201612=100",56.8,,1
2001,10,Toronto, Ontario,Total (house and land),"Index, 201612=100",56.8,,1
2001,11,Toronto, Ontario,Total (house and land),"Index, 201612=100",57,,1
2001,12,Toronto, Ontario,Total (house and land),"Index, 201612=100",57,,1
2002,1,Toronto, Ontario,Total (house and land),"Index, 201612=100",57.1,,1
2002,2,Toronto, Ontario,Total (house and land),"Index, 201612=100",57.6,,1
2002,3,Toronto, Ontario,Total (house and land),"Index, 201612=100",57.6,,1
2002,4,Toronto, Ontario,Total (house and land),"Index, 201612=100",57.9,,1
2002,5,Toronto, Ontario,Total (house and land),"Index, 201612=100",58.3,,1
2002,6,Toronto, Ontario,Total (house and land),"Index, 201612=100",58.3,,1
2002,7,Toronto, Ontario,Total (house and land),"Index, 201612=100",58.4,,1
2002,8,Toronto, Ontario,Total (house and land),"Index, 201612=100",58.7,,1
2002,9,Toronto, Ontario,Total (house and land),"Index, 201612=100",58.7,,1
2002,10,Toronto, Ontario,Total (house and land),"Index, 201612=100",59.1,,1
2002,11,Toronto, Ontario,Total (house and land),"Index, 201612=100",59.4,,1
2002,12,Toronto, Ontario,Total (house and land),"Index, 201612=100",59.5,,1
2003,1,Toronto, Ontario,Total (house and land),"Index, 201612=100",59.6,,1
2003,2,Toronto, Ontario,Total (house and land),"Index, 201612=100",59.9,,1
2003,3,Toronto, Ontario,Total (house and land),"Index, 201612=100",60,,1
2003,4,Toronto, Ontario,Total (house and land),"Index, 201612=100",60.2,,1
2003,5,Toronto, Ontario,Total (house and land),"Index, 201612=100",60.8,,1
2003,6,Toronto, Ontario,Total (house and land),"Index, 201612=100",60.9,,1
2003,7,Toronto, Ontario,Total (house and land),"Index, 201612=100",61.2,,1
2003,8,Toronto, Ontario,Total (house and land),"Index, 201612=100",61.6,,1
2003,9,Toronto, Ontario,Total (house and land),"Index, 201612=100",61.8,,1
2003,10,Toronto, Ontario,Total (house and land),"Index, 201612=100",62,,1
2003,11,Toronto, Ontario,Total (house and land),"Index, 201612=100",62.6,,1
2003,12,Toronto, Ontario,Total (house and land),"Index, 201612=100",62.7,,1
2004,1,Toronto, Ontario,Total (house and land),"Index, 201612=100",62.8,,1
2004,2,Toronto, Ontario,Total (house and land),"Index, 201612=100",63.1,,1
2004,3,Toronto, Ontario,Total (house and land),"Index, 201612=100",63.2,,1
2004,4,Toronto, Ontario,Total (house and land),"Index, 201612=100",63.9,,1
2004,5,Toronto, Ontario,Total (house and land),"Index, 201612=100",64.6,,1
2004,6,Toronto, Ontario,Total (house and land),"Index, 201612=100",65.2,,1
2004,7,Toronto, Ontario,Total (house and land),"Index, 201612=100",65.2,,1
2004,8,Toronto, Ontario,Total (house and land),"Index, 201612=100",65.5,,1
2004,9,Toronto, Ontario,Total (house and land),"Index, 201612=100",65.6,,1
2004,10,Toronto, Ontario,Total (house and land),"Index, 201612=100",65.7,,1
2004,11,Toronto, Ontario,Total (house and land),"Index, 201612=100",65.9,,1
2004,12,Toronto, Ontario,Total (house and land),"Index, 201612=100",66,,1
2005,1,Toronto, Ontario,Total (house and land),"Index, 201612=100",66.1,,1
2005,2,Toronto, Ontario,Total (house and land),"Index, 201612=100",66.2,,1
2005,3,Toronto, Ontario,Total (house and land),"Index, 201612=100",66.6,,1
2005,4,Toronto, Ontario,Total (house and land),"Index, 201612=100",66.9,,1
2005,5,Toronto, Ontario,Total (house and land),"Index, 201612=100",67.2,,1
2005,6,Toronto, Ontario,Total (house and land),"Index, 201612=100",68,,1
2005,7,Toronto, Ontario,Total (house and land),"Index, 201612=100",68,,1
2005,8,Toronto, Ontario,Total (house and land),"Index, 201612=100",68.2,,1
2005,9,Toronto, Ontario,Total (house and land),"Index, 201612=100",68.4,,1
2005,10,Toronto, Ontario,Total (house and land),"Index, 201612=100",68.7,,1
2005,11,Toronto, Ontario,Total (house and land),"Index, 201612=100",68.7,,1
2005,12,Toronto, Ontario,Total (house and land),"Index, 201612=100",68.7,,1
2006,1,Toronto, Ontario,Total (house and land),"Index, 201612=100",69.1,,1
2006,2,Toronto, Ontario,Total (house and land),"Index, 201612=100",69.3,,1
2006,3,Toronto, Ontario,Total (house and land),"Index, 201612=100",69.5,,1
2006,4,Toronto, Ontario,Total (house and land),"Index, 201612=100",69.7,,1
2006,5,Toronto, Ontario,Total (house and land),"Index, 201612=100",69.9,,1
2006,6,Toronto, Ontario,Total (house and land),"Index, 201612=100",70.2,,1
2006,7,Toronto, Ontario,Total (house and land),"Index, 201612=100",70.5,,1
2006,8,Toronto, Ontario,Total (house and land),"Index, 201612=100",70.8,,1
2006,9,Toronto, Ontario,Total (house and land),"Index, 201612=100",70.8,,1
2006,10,Toronto, Ontario,Total (house and land),"Index, 201612=100",70.8,,1
2006,11,Toronto, Ontario,Total (house and land),"Index, 201612=100",71,,1
2006,12,Toronto, Ontario,Total (house and land),"Index, 201612=100",71.1,,1
2007,1,Toronto, Ontario,Total (house and land),"Index, 201612=100",71.1,,1
2007,2,Toronto, Ontario,Total (house and land),"Index, 201612=100",71.2,,1
2007,3,Toronto, Ontario,Total (house and land),"Index, 201612=100",71.3,,1
2007,4,Toronto, Ontario,Total (house and land),"Index, 201612=100",71.3,,1
2007,5,Toronto, Ontario,Total (house and land),"Index, 201612=100",71.6,,1
2007,6,Toronto, Ontario,Total (house and land),"Index, 201612=100",72,,1
2007,7,Toronto, Ontario,Total (house and land),"Index, 201612=100",72.2,,1
2007,8,Toronto, Ontario,Total (house and land),"Index, 201612=100",72.4,,1
2007,9,Toronto, Ontario,Total (house and land),"Index, 201612=100",72.7,,1
2007,10,Toronto, Ontario,Total (house and land),"Index, 201612=100",72.7,,1
2007,11,Toronto, Ontario,Total (house and land),"Index, 201612=100",73.4,,1
2007,12,Toronto, Ontario,Total (house and land),"Index, 201612=100",73.5,,1
2008,1,Toronto, Ontario,Total (house and land),"Index, 201612=100",74.1,,1
2008,2,Toronto, Ontario,Total (house and land),"Index, 201612=100",74.3,,1
2008,3,Toronto, Ontario,Total (house and land),"Index, 201612=100",74.5,,1
2008,4,Toronto, Ontario,Total (house and land),"Index, 201612=100",74.6,,1
2008,5,Toronto, Ontario,Total (house and land),"Index, 201612=100",74.5,,1
2008,6,Toronto, Ontario,Total (house and land),"Index, 201612=100",74.8,,1
2008,7,Toronto, Ontario,Total (house and land),"Index, 201612=100",74.8,,1
2008,8,Toronto, Ontario,Total (house and land),"Index, 201612=100",74.9,,1
2008,9,Toronto, Ontario,Total (house and land),"Index, 201612=100",74.9,,1
2008,10,Toronto, Ontario,Total (house and land),"Index, 201612=100",74.9,,1
2008,11,Toronto, Ontario,Total (house and land),"Index, 201612=100",74.9,,1
2008,12,Toronto, Ontario,Total (house and land),"Index, 201612=100",74.9,,1
2009,1,Toronto, Ontario,Total (house and land),"Index, 201612=100",74.9,,1
2009,2,Toronto, Ontario,Total (house and land),"Index, 201612=100",74.9,,1
2009,3,Toronto, Ontario,Total (house and land),"Index, 201612=100",74.6,,1
2009,4,Toronto, Ontario,Total (house and land),"Index, 201612=100",74.2,,1
2009,5,Toronto, Ontario,Total (house and land),"Index, 201612=100",74,,1
2009,6,Toronto, Ontario,Total (house and land),"Index, 201612=100",73.9,,1
2009,7,Toronto, Ontario,Total (house and land),"Index, 201612=100",74,,1
2009,8,Toronto, Ontario,Total (house and land),"Index, 201612=100",74.1,,1
2009,9,Toronto, Ontario,Total (house and land),"Index, 201612=100",74.5,,1
2009,10,Toronto, Ontario,Total (house and land),"Index, 201612=100",74.7,,1
2009,11,Toronto, Ontario,Total (house and land),"Index, 201612=100",75.2,,1
2009,12,Toronto, Ontario,Total (house and land),"Index, 201612=100",75.7,,1
2010,1,Toronto, Ontario,Total (house and land),"Index, 201612=100",76.1,,1
2010,2,Toronto, Ontario,Total (house and land),"Index, 201612=100",75.6,,1
2010,3,Toronto, Ontario,Total (house and land),"Index, 201612=100",75.7,,1
2010,4,Toronto, Ontario,Total (house and land),"Index, 201612=100",75.8,,1
2010,5,Toronto, Ontario,Total (house and land),"Index, 201612=100",76.3,,1
2010,6,Toronto, Ontario,Total (house and land),"Index, 201612=100",76.5,,1
